bband,area_code,NetC_meas,NetC_sd,Dialup,LGA_Name,bband_meas,PvtBband,Tech_sd,state,OtherConn,bband_sd,NetC_rank,Tech_rank,TotalConn,bband_rank
203,62010,0.354,-1.53,12,Flinders (M),0.552,191,-0.85,Tas,20,-0.58,520,496,664,450
1455,62210,0.478,-0.58,104,George Town (M),0.552,1440,-0.55,Tas,121,-0.58,432,425,3513,449
939,62410,0.272,-2.15,64,Glamorgan/Spring Bay (M),0.535,920,-0.99,Tas,77,-0.73,542,515,3966,481
10299,62610,0.577,0.18,660,Glenorchy (C),0.559,10236,0.1,Tas,832,-0.52,234,203,20446,433
14099,62810,0.681,0.98,666,Hobart (C),0.71,13912,1.06,Tas,1071,0.78,108,75,23246,109
3621,63010,0.563,0.07,257,Huon Valley (M),0.616,3582,0.11,Tas,292,-0.03,259,202,7411,298
1391,63210,0.584,0.24,107,Kentish (M),0.615,1379,-0.21,Tas,77,-0.04,228,294,2695,301
394,63410,0.506,-0.36,21,King Island (M),0.565,382,-0.51,Tas,34,-0.47,371,408,887,417
9136,63610,0.685,1.01,541,Kingborough (M),0.716,9045,1.02,Tas,524,0.83,102,77,14886,105
2341,63810,0.566,0.09,141,Latrobe (M),0.611,2311,-0.14,Tas,161,-0.08,253,263,4671,309
15651,64010,0.608,0.42,863,Launceston (C),0.61,15502,0.13,Tas,1248,-0.09,199,196,29212,311
4639,64210,0.619,0.5,274,Meander Valley (M),0.629,4612,0.03,Tas,254,0.08,190,215,8345,266
2895,64610,0.571,0.13,192,Northern Midlands (M),0.603,2866,-0.2,Tas,192,-0.14,244,285,5742,330
3225,64810,0.564,0.08,225,Sorell (M),0.622,3199,0.08,Tas,269,0.02,257,207,6596,286
1248,65010,0.539,-0.11,110,Southern Midlands (M),0.551,1243,-0.32,Tas,92,-0.59,312,327,2690,457
559,65210,0.275,-2.14,40,Tasman (M),0.57,543,-0.97,Tas,51,-0.43,541,512,2365,407
3259,65410,0.588,0.26,197,Waratah/Wynyard (M),0.602,3235,-0.19,Tas,226,-0.15,222,281,6261,334
1147,65610,0.411,-1.09,77,West Coast (M),0.57,1102,-0.66,Tas,102,-0.43,485,462,3224,410
5794,65810,0.645,0.7,320,West Tamar (M),0.695,5739,0.36,Tas,287,0.65,153,164,9921,132
6054,70200,0.62,0.51,259,Alice Springs (T),0.677,5683,0.57,NT,557,0.5,188,130,11081,163
667,70420,0.338,-1.65,50,Barkly (S),0,0,-0.89,NT,118,0,527,504,2472,0
7,70540,0.184,-2.83,0,Belyuen (S),0,0,-1.59,NT,0,0,557,543,38,0
170,70620,0.237,-2.42,19,Central Desert (S),0,0,-1.34,NT,71,0,548,534,1096,0
268,70700,0.395,-1.22,9,Coomalie (S),0,0,-0.92,NT,29,0,496,508,775,0
17594,71000,0.656,0.78,804,Darwin (C),0.699,17006,0.77,NT,1669,0.68,139,102,30603,125
315,71300,0.258,-2.27,24,East Arnhem (S),0,0,-1.37,NT,57,0,544,536,1536,0
1831,72200,0.56,0.05,101,Katherine (T),0.58,1509,-0.13,NT,253,-0.35,264,255,3900,387
4233,72300,0.644,0.69,262,Litchfield (M),0,0,0.31,NT,358,0,157,168,7540,0
287,72330,0.206,-2.66,22,MacDonnell (S),0,0,-1.51,NT,72,0,552,539,1850,0
6453,72800,0.699,1.12,214,Palmerston (C),0.727,6399,0.72,NT,582,0.92,79,111,10368,93
489,73600,0.314,-1.83,21,Roper Gulf (S),0,0,-1.17,NT,158,0,533,529,2126,0
103,74050,0.201,-2.7,7,Tiwi Islands (S),0,0,-1.45,NT,25,0,555,538,673,0
393,74500,0.249,-2.34,14,Victoria-Daly (S),0,0,-1.34,NT,63,0,545,535,1890,0
100,74560,0.521,-0.25,13,Wagait (S),0,0,0.67,NT,10,0,345,118,236,0
530,74660,0.38,-1.33,31,West Arnhem (S),0,0,-0.94,NT,161,0,503,510,1899,0
102528,89399,0.772,1.68,3883,Unincorporated ACT,0.784,101502,1.95,ACT,5953,1.42,10,14,145473,19
