HI_2500_2999_Tot,HI_600_799_Tot,HI_4000_more_Tot,Negative_Nil_income_Tot,HI_3500_3999_Tot,HI_1500_1999_Tot,Tot_Tot,HI_1_199_Tot,HI_400_599_Tot,HI_800_999_Tot,HI_300_399_Tot,HI_2000_2499_Tot,HI_200_299_Tot,HI_3000_3499_Tot,HI_1250_1499_Tot,HI_1000_1249_Tot,area_code
1154,981,519,136,374,1791,13952,159,1024,1009,593,1411,272,817,1043,1017,18400
4961,6196,1817,1070,1291,7671,71765,1315,7803,5376,5812,5600,2632,3280,4621,5089,18450
3370,823,2916,374,924,1814,20463,208,865,974,601,1153,273,1596,1086,1106,18500
2515,5914,636,561,581,5789,55911,852,7538,4865,4949,4025,1860,1503,3887,4416,18550
472,326,306,47,184,619,5179,64,337,329,224,506,89,380,339,407,18710
152,558,45,60,16,425,4573,92,636,449,467,213,177,84,301,352,18750
830,756,554,335,278,1188,10728,225,916,768,557,840,295,532,763,761,11300
445,1263,152,151,77,991,11198,189,1398,1157,944,595,478,270,798,936,11350
233,406,71,74,71,466,4705,90,503,395,378,369,166,177,340,411,11400
1806,1064,765,160,562,2558,17874,186,1058,1075,671,2329,239,1213,1233,1215,11450
2999,4007,1115,473,887,5978,47286,655,4079,3584,2798,4670,1272,1730,3758,4248,11500
3551,1447,2460,606,1229,3010,28016,403,1695,1478,1237,2193,570,2119,1605,1689,11520
2388,4464,1047,928,729,4871,45928,975,4997,3853,3053,3084,1708,1506,3346,3954,11550
29,101,10,25,4,96,985,20,109,89,81,75,24,21,71,92,11600
26,88,7,7,3,50,741,22,81,76,86,29,40,17,48,63,11700
1260,1808,296,194,246,1939,18230,257,2085,1418,1562,1258,562,689,1243,1427,11720
490,2429,120,207,79,1561,19256,407,3177,1978,1941,857,815,289,1237,1605,11730
197,126,44,26,42,174,1721,28,162,103,132,105,53,85,106,126,11750
899,839,785,308,331,1253,11379,185,823,739,553,971,291,615,784,818,17100
7978,4813,4467,641,2702,8608,75349,789,5014,4932,3551,7344,1352,5695,4821,4896,17150
10146,3938,5602,2555,2742,7912,73170,1233,3787,3961,3596,4911,2715,4312,4665,4781,17200
889,2316,263,218,187,2177,21141,313,2631,1901,1733,1481,692,571,1623,1830,17310
26,37,7,9,0,35,390,8,41,46,21,17,11,8,34,26,19399
155,557,40,53,20,419,4738,103,685,479,473,293,190,63,332,404,20110
154,539,24,60,20,382,4329,79,612,422,410,279,147,63,313,371,20260
1712,3807,472,303,364,3866,35745,532,4231,3266,2983,2626,1208,965,2772,3184,20570
3921,3267,1730,535,1139,5102,43698,594,3469,3188,2434,4027,1067,2471,3159,3330,20660
602,1282,148,132,100,1036,11859,238,1697,1194,1182,608,454,216,758,988,20740
812,1599,247,183,161,1796,15981,288,1867,1447,1146,1167,447,482,1233,1347,20830
4536,1896,2894,383,1385,2980,33270,424,2197,1885,1597,2250,654,2624,1830,1912,20910
159,717,41,63,31,522,5540,109,785,522,543,343,201,93,391,477,21010
7271,2953,5640,1082,2618,5454,57231,831,3247,3177,2202,4067,978,4714,3353,3353,21110
3092,5369,1034,993,822,6830,58772,1121,5981,4897,3487,4947,1823,1770,4398,5258,21180
56,310,20,46,9,218,2615,61,398,238,311,115,116,33,176,200,21270
462,1554,120,187,78,1379,13799,262,1832,1395,1227,850,469,266,1036,1166,21370
1648,2075,472,242,349,3575,25038,295,2052,2130,1187,2561,505,892,2208,2289,21450
5353,6427,1535,832,1315,11548,80471,934,6128,6677,3325,8709,1325,2987,7141,7663,21610
72,741,26,59,10,354,5251,85,939,505,666,162,279,53,303,434,21670
286,864,66,94,43,809,7855,142,1025,801,707,493,232,127,622,740,21750
213,647,103,91,36,580,6194,129,782,642,534,370,204,119,520,509,21830
3654,4111,1458,866,1072,5573,51626,1052,4935,3830,3631,4177,1724,2312,3730,4294,21890
466,2042,137,217,75,1420,16859,372,2484,1695,1698,819,666,284,1194,1368,22110
2782,4386,698,526,621,5879,47405,600,4585,4135,3233,4151,1312,1470,3724,4432,22170
99,493,30,66,14,319,4161,111,642,435,462,186,165,34,283,361,22250
346,560,89,60,79,898,6299,90,595,529,302,551,138,217,535,601,22490
1736,4072,472,317,310,4231,38218,590,4554,3601,3011,2867,1209,981,3036,3432,22620
1716,4931,502,837,372,4790,45490,954,5243,4248,3346,3013,1600,917,3492,4385,22670
4752,7843,1274,812,1040,8933,80526,1262,9041,7039,6248,6193,2619,2700,5911,6706,22750
888,2292,252,239,208,2384,21810,357,2592,2066,1657,1614,715,520,1696,1963,22830
196,661,45,86,52,510,5767,129,733,574,581,282,264,109,456,517,22910
60,311,8,33,8,194,2341,48,340,240,259,123,85,33,170,192,22980
2486,2524,1127,417,739,3474,31141,531,2653,2283,1952,2607,864,1622,2209,2407,23110
277,859,73,79,51,860,7635,112,934,739,646,525,279,172,585,695,23190
3155,4691,965,664,770,6773,52244,875,4708,4280,2609,4780,1185,1712,4345,4814,23270
252,580,80,57,53,675,5612,94,601,498,405,468,138,184,420,497,23350
4473,4251,1540,637,1149,6225,53445,778,4748,4134,3367,4841,1292,2642,3845,4221,23430
4156,3850,1517,504,1210,7051,52056,608,3942,3954,2535,5216,1005,2523,4103,4407,23670
328,833,74,98,65,797,7713,136,1013,689,743,481,293,204,543,619,22410
1589,2781,350,296,343,2775,27949,509,3450,2323,2560,1834,1147,852,1896,2104,23810
35,411,18,57,12,203,3039,89,477,324,387,106,157,31,172,224,23940
1336,1083,392,175,336,1836,14522,199,1123,1101,721,1346,276,760,1037,1144,24130
3727,2743,2159,614,1267,4142,38621,658,3019,2840,1683,3134,640,2414,2631,2698,24210
107,336,27,55,17,311,2983,56,378,299,257,169,114,56,229,251,24250
2117,2036,917,514,588,2890,26449,518,2183,1863,1710,2255,944,1327,1940,2153,24330
2954,3064,1003,355,757,4858,38387,443,3189,3170,2321,3700,794,1786,2955,3301,24410
4613,2278,2126,3876,1134,4245,39976,1236,2067,2264,1458,2597,1320,1972,2724,2690,24600
2524,2825,606,411,604,4973,34974,387,2531,2830,1331,3965,675,1364,3134,3321,24650
602,2111,165,251,124,1852,19251,415,2507,1839,1702,1173,788,353,1445,1667,24780
691,1086,169,131,141,1480,11815,180,1161,980,675,999,294,397,1013,1032,24850
283,1258,87,170,53,978,10749,209,1564,1132,1002,603,404,162,772,860,24900
5104,4579,2404,1533,1538,6527,59374,1089,5172,4392,3052,4914,1263,3234,4175,4422,24970
3730,2861,1939,541,1210,4271,40559,740,3409,2779,2497,3369,1174,2390,2652,2868,25060
689,828,173,124,139,1226,10077,148,990,832,621,859,275,361,793,905,25150
4090,4397,1526,873,1199,6307,55845,1103,5222,4139,3772,4638,1689,2516,4144,4455,25250
3389,5334,1107,654,777,5740,54152,771,6137,4913,3973,3837,1379,1949,3952,4277,25340
272,809,69,83,37,609,7099,135,989,710,762,371,287,112,528,620,25430
255,573,107,78,38,642,5805,89,644,555,392,428,152,158,495,540,25490
5033,3383,2759,1022,1610,5312,49895,772,3786,3545,2615,3873,1137,3220,3408,3606,22310
195,560,44,101,31,495,5036,114,606,447,410,321,192,103,434,435,25620
2261,1036,1147,133,795,2352,19362,160,935,1159,582,2193,245,1598,1329,1269,25710
161,561,30,60,22,416,4769,91,692,472,488,253,189,95,315,397,25810
5813,2429,3133,630,1492,4810,42069,593,2349,2537,1959,3033,1123,2567,2909,3002,25900
61,351,18,47,8,198,2684,55,409,269,328,101,112,31,162,223,25990
82,123,21,14,17,119,1215,20,164,106,95,89,28,45,92,91,26080
420,1100,127,145,62,1081,10453,217,1320,1098,902,686,337,202,818,854,26170
241,719,65,64,40,678,6535,115,829,663,617,404,231,150,500,550,26260
5130,2180,3451,899,1469,3975,39105,621,2171,2251,1580,2696,863,2603,2668,2558,26350
129,428,33,47,28,355,3850,76,558,404,372,197,139,62,253,335,26430
687,777,215,112,177,1049,9057,134,766,789,445,821,183,412,684,694,26490
235,819,62,108,47,687,7566,151,973,743,651,466,283,143,584,654,26610
67,247,21,33,18,194,2323,48,302,252,225,126,96,38,179,185,26670
385,1220,110,112,65,1089,10635,191,1327,1016,927,708,430,217,797,970,26700
542,1231,146,116,117,1406,12014,211,1376,1074,905,909,393,336,1009,1067,26730
755,1666,175,212,150,1447,15666,330,2016,1416,1386,953,529,430,1085,1233,26810
61,194,24,27,3,145,1757,40,240,173,198,104,61,26,131,121,26890
4974,4343,2140,1251,1482,6060,55472,920,4883,4135,3214,4598,1301,3191,3724,4128,26980
3080,4116,887,646,770,6989,50223,782,4568,4013,2177,5163,1021,1766,4228,4709,27070
605,1313,130,120,122,1523,13222,180,1366,1208,900,1163,467,348,1161,1249,27170
4341,3943,1304,691,1057,7645,52799,688,3627,4084,1863,5779,943,2326,4538,4801,27260
3728,1750,2377,392,1233,3131,30963,598,1854,1617,1650,2426,1063,2121,1831,1990,27350
3540,4251,1122,472,899,6554,50681,625,4277,4166,2732,4796,1002,2008,4134,4488,27450
66,302,25,42,10,245,2852,67,424,299,364,125,118,47,183,231,27630
11,11,0,7,0,11,127,11,11,17,8,10,3,3,9,9,29399
6,28,0,0,3,30,222,4,15,12,7,20,6,3,19,28,30250
55,149,24,35,18,159,1619,37,144,154,99,114,55,43,120,151,30300
618,402,150,95,93,612,5158,92,399,316,291,363,114,268,360,343,30370
59,100,19,25,13,116,1199,24,93,89,110,79,49,39,82,114,30410
6,10,0,3,0,13,132,0,12,14,6,10,4,6,10,14,30450
30,86,17,18,4,67,865,29,93,83,82,46,29,23,64,68,30760
174,389,51,71,35,423,3836,67,407,348,271,230,90,101,324,378,33610
492,2107,101,250,85,1534,17452,313,2762,1765,1634,857,619,257,1233,1467,33620
152,473,51,45,47,460,4488,85,566,413,417,298,149,109,341,353,33800
12,32,0,0,4,18,228,7,32,25,11,9,14,6,14,34,33830
3373,5002,880,464,774,7515,56328,616,5061,4763,3166,5667,1153,1932,4761,5340,33960
1558,209,596,115,328,620,6653,46,245,238,121,451,63,664,294,245,33980
5,34,0,0,3,32,231,0,20,30,9,22,4,3,20,46,34420
469,1235,99,149,85,1372,11899,194,1396,1127,838,891,294,295,991,1051,34580
10,31,5,8,0,26,314,6,34,36,22,21,0,13,23,32,36300
2573,3240,827,396,617,4322,38536,513,3929,2907,2806,3133,975,1569,2656,2788,36360
639,1384,162,168,134,1524,13279,241,1593,1223,906,971,346,361,1049,1147,36510
306,851,64,93,56,809,7816,166,1034,789,589,493,224,165,610,677,36580
436,1476,81,135,70,977,11858,272,1832,1096,1183,563,423,234,774,945,36630
349,1579,74,159,53,1249,12861,259,1934,1323,1125,676,420,171,992,1088,36660
5998,12094,1802,1397,1227,12536,116713,1841,13942,11143,8000,8234,3054,3394,9177,9898,36710
598,1734,143,270,87,1480,16236,332,2152,1493,1471,893,641,329,1117,1264,36810
2809,5635,850,571,647,6346,55183,745,6239,4921,3926,4270,1365,1692,4316,4856,36910
66,48,17,7,21,106,817,6,43,42,26,74,16,46,59,56,36950
15,163,4,6,5,101,942,7,109,88,64,50,87,8,83,124,36960
